Player,Tm,Pos,USG%,3PAr,TOV%,BLK%,TRB%,STL%,FGA,FTA,PTS,PCT_FG_3P,CORNER_PCT_3PA,PCT_AST_2P,PCT_AST_3P,PCT_FG_0-3,DUNK_%FGA,Similarity
Troy Brown Jr.,LAL,SF,12.1,0.604,9.2,0.7,8.9,1.5,11.8,1.0,13.8,0.604,0.395,0.667,0.953,0.166,0.03,0.16129638860687326
Ricky Rubio,CLE,PG,17.7,0.461,13.8,1.0,7.3,2.3,15.8,3.1,15.2,0.461,0.439,0.375,0.952,0.157,0.0,0.1451317568618918
Anthony Lamb,GSW,SF,13.8,0.634,13.7,1.5,9.9,1.1,12.4,2.4,16.4,0.634,0.342,0.68,0.986,0.15,0.045,0.14036207239129717
Michael Carter-Williams,ORL,PG,20.6,0.214,19.0,2.2,6.4,1.1,15.4,7.7,18.7,0.214,0.333,0.0,1.0,0.143,0.0,0.13777184848997942
Justin Minaya,POR,SF,13.4,0.522,14.6,5.0,9.7,1.1,12.6,0.5,9.3,0.522,0.25,0.5,1.0,0.217,0.0,0.13669366894459622
RJ Barrett,NYK,SG,26.2,0.332,10.8,0.6,8.2,0.6,23.5,7.8,28.6,0.332,0.29,0.424,0.926,0.299,0.029,0.13218760684888906
Ryan Rollins,GSW,PG,26.1,0.45,41.4,1.4,10.6,0.8,15.2,4.6,17.5,0.45,0.556,0.25,0.667,0.35,0.0,0.13179498220384492
Mac McClung,PHI,SG,27.5,0.55,11.9,0.0,14.4,0.0,24.2,6.0,30.2,0.55,0.364,0.6,0.75,0.3,0.1,0.12655510887586924
DeMar DeRozan,CHI,SF,27.8,0.109,9.1,1.3,7.2,1.5,23.7,9.5,33.0,0.109,0.31,0.244,0.848,0.165,0.023,0.1262443195927308
Justin Holiday,DAL,SF,14.1,0.701,9.6,2.3,4.4,1.3,14.0,0.5,14.1,0.701,0.538,0.871,0.913,0.147,0.039,0.12479658449163723
Dylan Windler,CLE,SF,17.9,0.667,25.0,0.0,0.0,5.0,15.0,0.0,25.1,0.667,0.5,1.0,1.0,0.333,0.0,0.11614887328323466
